CeGe;Prog. Finan.;Objetivo;Hipertexto Objetivo;Memoria Objetivo
001100;91216;01;EJERCER LAS FUNCIONES DE LA PRESIDENCIA DEL PLENO DELEGADAS POR EL  ALCALDE.;Los borradores del orden del día se configuran con motivo de los 14 Plenos convocados y celebrados, (11 Plenos Ordinarios y 3 Plenos Extraordinarios).  En cuanto a las reuniones y juntas de portavoces se han cumplido los objetivos, superando ligeramente lo previsto.
001100;91216;02;ACTUACIONES HISTÓRICO ARTÍSTICAS;Se realizó la adquisición del retrato del Alcalde de Madrid D. Melchor Rodríguez García para incorporarlo a la Galería de los Regidores.  Por otro lado, se ha procedido a la restauración de 5 lámparas de la segunda planta del edificio situado en Plaza de la Villa nº4:  - Dos lámparas medianas situadas en el Salón de Comisiones pequeño de la zona histórica de la Casa Cisneros.  - Dos lámparas medianas situadas en la Biblioteca Histórica de la Casa Cisneros.  - Una lámpara grande situada en el Salón de Junta de Portavoces de la Casa de Cisneros.
001100;91230;01;ATENCIÓN DE LA ACTIVIDAD DEL PLENO Y SUS COMISIONES.;"EL número de sesiones plenarias celebradas a lo largo del año 2024 es ligeramente inferior al previsto, correspondiéndose con un Pleno Ordinario mensual y 3 Plenos Extraordinarios.  Durante el ejercicio presupuestario 2024 se celebraron un total de 83 sesiones de las diversas Comisiones del Pleno, frente a las 112 previstas en el presupuesto. Hay que tener en cuenta que en la correspondiente memoria se advertía que, de las citadas 112 sesiones, 89 se consideraban como de muy probable celebración y 23 se valoraban como razonablemente posibles, en consideración al ritmo de la actividad de las Comisiones del Pleno en el momento de la elaboración del presupuesto para el ejercicio de 2024.  El decremento en el número de sesiones celebradas en relación con las previstas obedece fundamentalmente a que durante el citado ejercicio presupuestario no se ha constituido ninguna Comisión no permanente; a que la Comisión Especial de Vigilancia de la Contratación ha celebrado una única sesión; y a la circunstancia de haberse celebrado solamente 3 sesiones extraordinarias (frente a las 14 que se estimaron como posibles, excluidas las relativas a las comparecencias para la tramitación del presupuesto).  En todo caso, durante el año 2024 se atendieron con absoluta normalidad todas las sesiones celebradas, desempeñando en ellas las actividades recogidas en el objetivo presupuestario que se informa:  A. Elaboración y remisión de convocatorias y de órdenes del día.  B. Tratamiento, custodia y exposición de los expedientes sometidos a sesión.  C. Asistencia a la Secretaría durante el desarrollo de las sesiones.  D. Grabación de las sesiones.  E. Elaboración y distribución de dictámenes, diarios de sesiones y actas.  En cuanto a la retransmisión de las sesiones de las Comisiones del Pleno se ha alcanzado el porcentaje del 100 por ciento."
001100;91230;02;MANTENIMIENTO Y ADAPTACIÓN DE LA INFORMACIÓN EN LA WEB MUNICIPAL.;La reducción del número de actualizaciones de la información se debe a que el año 2024 es el primer año completo de la nueva Corporación Municipal, en el que se reducen el número de Grupos Políticos que componen la misma de 6 a 4, lo que conlleva, consecuentemente, la reducción del número de iniciativas presentadas en los órganos colegiados y con ello el número de actualizaciones.
001100;91230;03;GESTIÓN, MANTENIMIENTO Y CUSTODIA DE LOS REGISTROS DE RESPONSABILIDAD DE LA SECRETARÍA GENERAL DEL PLENO.;Como se ha señalado, tras la celebración de las elecciones municipales desaparecieron 2 Grupos Políticos, disminuyendo tanto la presentación de iniciativas como la documentación asociada a las mismas, en aproximadamente un 33 por ciento.  Hay que tener en cuenta que además ha disminuido el número de comisiones realizadas (83 frente a 112), contempladas en el objetivo 1, indicador de gestión 2 de este programa, lo que lógicamente ha tenido su reflejo en el número de asientos de entrada y en la documentación asociada a los mismos.  La reducción en los dos últimos indicadores de gestión, (anotaciones en el Registro de Bienes Patrimoniales y anotaciones de Causas de Posible Incompatibilidad) se debe a que no se han efectuado las correspondientes declaraciones en el año 2024, en aplicación de la Ley de Transparencia y Participación de la Comunidad de Madrid.
001100;91230;04;PROMOVER LA EFICAZ GESTIÓN DE LOS SERVICIOS DE COMPETENCIA DE LA  SECRETARÍA GENERAL DEL PLENO, APORTANDO LOS MEDIOS NECESARIOS PARA EL DESARROLLO DE LAS FUNCIONES DE LA MISMA MEDIANTE LOS CORRESPONDIENTES PROCEDIMIENTOS DE CONTRATACIÓN, GESTIÓN DE PERSONAL Y TRAMITACIÓN DE EXPEDIENTES DE GASTO.;Las partidas del capítulo 6: 62302, 62500, 62599, 62901 y 63600 se dotaron para satisfacer las posibles necesidades de adquisición de grabadoras de mano para las sesiones del Pleno y Comisiones (partida 62302), de mobiliario de oficina (partidas 62500 y 62599), de cambio de señalización de las distintas dependencias de la Secretaría General del Pleno (62901) o bien para cubrir la más que posible reposición y mejora de los distintos equipos de comunicación que se utilizan tanto en las sesiones plenarias como en las comisiones (partida 63600).  La disminución de las necesidades previstas durante el ejercicio 2024, así como que no se han realizado ningún pedido de material sanitario, explicarían la variación en el número de contratos menores y en los documentos contables realizados.  Sin embargo, la gestión de personal, tanto de la Presidencia y Secretaría del Pleno, como de los Grupos Políticos Municipales, ha continuado de la forma prevista, incrementándose incluso el número de acciones realizadas en esta materia.
001100;91230;05;CONSERVAR EL EDIFICIO MUNICIPAL DESTINADO A LA PRESIDENCIA DEL PLENO Y SUS INSTALACIONES EN CONDICIONES IDÓNEAS PARA SU USO MEDIANTE LA REALIZACIÓN DE LAS CORRESPONDIENTES ACCIONES DE CONSERVACIÓN, LIMPIEZA Y MANTENIMIENTO.;Este objetivo incide en la conservación del edificio municipal situado en la Plaza de la Villa nº 4 así como de sus instalaciones, tratando de mantenerlas en condiciones idóneas para su utilización. A este respecto indicar, que se han cumplido los objetivos previstos en el mismo.  En cuanto a los contratos tramitados en 2024 por procedimiento abierto, y que se realizó una previsión de 3 contratos en el indicador 9 del objetivo 05, se informa que se trata de los siguientes contratos:  - Contrato de mantenimiento se sistemas y equipos electrónicos de seguridad de los edificios de Presidencia del Pleno.  - Contrato de mantenimiento de aparatos elevadores e instalaciones electromecánicas de los edificios de Presidencia del Pleno.  - Contrato de limpieza de los edificios de Presidencia del Pleno.
001100;91240;01;GESTIÓN DE LOS SERVICIOS PARA EL APOYO AL DESARROLLO DE LAS FUNCIONES DE LOS GRUPOS POLÍTICOS MEDIANTE LA TRAMITACIÓN DE LOS CORRESPONDIENTES PROCEDIMIENTOS DE CONTRATACIÓN Y EXPEDIENTES DE GASTO.;No se ha realizado ningún pedido de material sanitario, lo que justificaría la leve disminución en número de contratos menores realizados frente a los previstos.
001100;91240;02;MANTENIMIENTO Y CONSERVACIÓN EN PERFECTO ESTADO DE USO, GARANTIZANDO EL CUMPLIMIENTO DE LA NORMATIVA VIGENTE, ASÍ COMO DE SUS INSTALACIONES, DEL EDIFICIO DESTINADO A LOS GRUPOS POLÍTICOS MUNICIPALES.;Este objetivo refleja los datos de la conservación del edificio municipal situado en la Calle Mayor nº 71 así como de sus instalaciones, tratando de mantenerlas en condiciones idóneas para su utilización. A este respecto indicar que se han cumplido los objetivos previstos en el mismo.
001101;91201;01;Ejercer las funciones ejecutivas de dirección política y administrativa  que corresponden a la Alcaldía.;En cuanto a los objetivos marcados en el presupuesto 2024, en el ejercicio de las funciones ejecutivas de dirección política y administrativa, destaca el número de reuniones mantenidas, tanto con personas y entidades ajenas a la organización municipal como dentro de la propia institución con los responsables del gobierno y administración de la ciudad.  En cuanto a la presidencia de las sesiones del Pleno, hay que reseñar que, si bien la presidencia está delegada en un concejal, el Alcalde asiste a las sesiones y se somete a su control, contestando preguntas y realizando comparecencias.  Asimismo, preside las reuniones de la Junta de Gobierno que con carácter ordinario se celebran semanalmente.
