Centro;Descripcion Centro;Cap.;Cap.;Economico;Descripcion Economico;PREV.INICIAL;MODIFICACIONES;PREV.DEFINITIV;D. RECON.NETOS;RECAUDADO
001;AYUNTAMIENTO DE MADRID;4;4;41000;DE OO.A.. DEL AYTO.MADRID;0;4459514,41;4459514,41;0;0
001;AYUNTAMIENTO DE MADRID;4;4;41000;DE OO.A.. DEL AYTO.MADRID;0;9045946,53;9045946,53;0;0
001;AYUNTAMIENTO DE MADRID;4;4;41000;DE OO.A.. DEL AYTO.MADRID;0;8370068,17;8370068,17;0;0
001;AYUNTAMIENTO DE MADRID;4;4;41000;DE OO.A.. DEL AYTO.MADRID;0;5000;5000;5000;5000
001;AYUNTAMIENTO DE MADRID;4;4;41000;DE OO.A.. DEL AYTO.MADRID;0;6989986,77;6989986,77;0;0
001;AYUNTAMIENTO DE MADRID;4;4;41000;DE OO.A.. DEL AYTO.MADRID;0;1174725,26;1174725,26;0;0
001;AYUNTAMIENTO DE MADRID;7;7;71000;DE OO.AA. AYTO. MADRID;0;2587830,62;2587830,62;2587830,62;2587830,62
501;INFORMÁTICA DEL AYUNTAMIENTO DE MADRID;4;4;40000;DE LA ADM. GRAL. DEL AYUNTAMIENTO DE MADRID;141174456;-1290992;139883464;139536464;99998573
501;INFORMÁTICA DEL AYUNTAMIENTO DE MADRID;7;7;70000;DE ADMON. GRAL. AYTO.MADR;21925350;2464868,8;24390218,8;24390218,8;1173876,8
501;INFORMÁTICA DEL AYUNTAMIENTO DE MADRID;7;7;70006;De la Admón. Gral. Ayto. Madri;674755;0;674755;674755;0
503;AGENCIA PARA EL EMPLEO DE MADRID;4;4;40000;DE LA ADM. GRAL. DEL AYUNTAMIENTO DE MADRID;4378472;-804568;3573904;3573904;3573904
503;AGENCIA PARA EL EMPLEO DE MADRID;4;4;40000;DE LA ADM. GRAL. DEL AYUNTAMIENTO DE MADRID;43365053;-5846117,13;37518935,87;37448935,87;14455017,67
503;AGENCIA PARA EL EMPLEO DE MADRID;7;7;70000;DE ADMON. GRAL. AYTO.MADR;3998150;-130839,21;3867310,79;3867310,79;0
503;AGENCIA PARA EL EMPLEO DE MADRID;4;4;40000;DE LA ADM. GRAL. DEL AYUNTAMIENTO DE MADRID;0;70000;70000;70000;0
506;AGENCIA TRIBUTARIA  MADRID;4;4;40000;DE LA ADM. GRAL. DEL AYUNTAMIENTO DE MADRID;70567514;732703,64;71300217,64;64197219,49;53656602,14
506;AGENCIA TRIBUTARIA  MADRID;7;7;70000;DE ADMON. GRAL. AYTO.MADR;178092;0;178092;178092;0
508;MADRID SALUD;4;4;40000;DE LA ADM. GRAL. DEL AYUNTAMIENTO DE MADRID;117746206;-376134;117370072;101931665;79757753,3
508;MADRID SALUD;7;7;70000;DE ADMON. GRAL. AYTO.MADR;1878202;459461,4;2337663,4;2337663,4;411134
509;AGENCIA DE ACTIVIDADES;4;4;40000;DE LA ADM. GRAL. DEL AYUNTAMIENTO DE MADRID;23076282;66505;23142787;17373716,5;13461164,5
509;AGENCIA DE ACTIVIDADES;7;7;70000;DE ADMON. GRAL. AYTO.MADR;7835;0;7835;7835;0
001;AYUNTAMIENTO DE MADRID;1;1;11500;IMPUESTO SOBRE VEHÍCULOS DE TRACCIÓN MECÁNICA;1000;0,00;1000;59;59,00
001;AYUNTAMIENTO DE MADRID;3;3;33100;ENTRADA DE VEHÍCULOS;3000;0,00;3000;565,31;565,31
