Centro;Descripcion Centro;Capitulo;Descripcion Capitulo;Economico;Descripcion Economico;PREV.INICIAL;MODIFICACIONES;PREV.DEFINITIV;D. RECON.NETOS;RECAUDADO
001;AYUNTAMIENTO DE MADRID;1;IMPUESTOS DIRECTOS;10000;I.R.P.F.;257552521;0;257552521;189350231,6;189350231,6
001;AYUNTAMIENTO DE MADRID;1;IMPUESTOS DIRECTOS;11200;IBI DE NATURALEZA RÚSTICA;834169;0;834169;835817,74;100023,16
001;AYUNTAMIENTO DE MADRID;1;IMPUESTOS DIRECTOS;11300;IBI DE NATURALEZA URBANA;1480895274;0;1480895274;1439319433;459090356,1
001;AYUNTAMIENTO DE MADRID;1;IMPUESTOS DIRECTOS;11400;IBI CARACT. ESPECIALES;51441790;0;51441790;51506246,14;5478,41
001;AYUNTAMIENTO DE MADRID;1;IMPUESTOS DIRECTOS;11500;IMPUESTO SOBRE VEHÍCULOS DE TRACCIÓN MECÁNICA;138478422;0;138478422;145373449,2;111639962,2
001;AYUNTAMIENTO DE MADRID;1;IMPUESTOS DIRECTOS;11600;IMPUESTO IVTNU;435535109;0;435535109;303818526,9;290600101,2
001;AYUNTAMIENTO DE MADRID;1;IMPUESTOS DIRECTOS;13000;ACTIVIDADES EMPRESARIALES;148964525;0;148964525;151002136,6;41265637,37
001;AYUNTAMIENTO DE MADRID;1;IMPUESTOS DIRECTOS;13001;ACTIVIDADES PROFESIONALES Y ARTÍSTICAS;3069;0;3069;3117,19;544,06
001;AYUNTAMIENTO DE MADRID;2;IMPUESTOS INDIRECTOS;21000;IMPUESTO SOBRE EL VALOR AÑADIDO;106843825;0;106843825;93265052,17;93265052,17
001;AYUNTAMIENTO DE MADRID;2;IMPUESTOS INDIRECTOS;22000;IMPUESTO SOBRE EL ALCOHOL Y BEBIDAS DERIVADAS;288199;0;288199;450280,36;450280,36
001;AYUNTAMIENTO DE MADRID;2;IMPUESTOS INDIRECTOS;22001;IMPUESTO SOBRE LA CERVEZA;372276;0;372276;271260,27;271260,27
001;AYUNTAMIENTO DE MADRID;2;IMPUESTOS INDIRECTOS;22003;IMPUESTO SOBRE LABORES DE TABACO;6795798;0;6795798;4864470,85;4864470,85
001;AYUNTAMIENTO DE MADRID;2;IMPUESTOS INDIRECTOS;22004;IMPUESTO SOBRE HIDROCARBUROS;6057323;0;6057323;4692427,59;4692427,59
001;AYUNTAMIENTO DE MADRID;2;IMPUESTOS INDIRECTOS;22006;IMPUESTO SOBRE PRODUCTOS INTERMEDIOS;3947;0;3947;7198,16;7198,16
001;AYUNTAMIENTO DE MADRID;2;IMPUESTOS INDIRECTOS;29000;IMPUESTO S/CONSTRUCCIONES, INSTALAC. Y OBRAS;126000000;0;126000000;112928696,3;107000655,1
001;AYUNTAMIENTO DE MADRID;2;IMPUESTOS INDIRECTOS;29100;IMPUESTO COTOS DE CAZA Y PESCA;360;0;360;335,5;335,5
001;AYUNTAMIENTO DE MADRID;3;TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS;30200;RETIRADA CONTENEDORES DE LA VÍA PÚBLICA;115000;0;115000;80796,3;70437,8
001;AYUNTAMIENTO DE MADRID;3;TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS;30300;TASA POR GESTIÓN DE RESIDUOS;293080765;0;293080765;293222602,9;57518229,18
001;AYUNTAMIENTO DE MADRID;3;TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS;30301;VERTEDERO;2923857;0;2923857;2272936,39;1227705,4
